,Sector,Year,FDI($)
540,FERMENTATION INDUSTRIES,2009,144.7
541,FOOD PROCESSING INDUSTRIES,2009,102.71
542,VEGETABLE OILS AND VANASPATI,2009,42.88
543,"SOAPS, COSMETICS & TOILET PREPARATIONS",2009,22.03
544,RUBBER GOODS,2009,84.88
545,"LEATHER,LEATHER GOODS AND PICKERS",2009,3.32
546,GLUE AND GELATIN,2009,0.0
547,GLASS,2009,23.16
548,CERAMICS,2009,198.43
549,CEMENT AND GYPSUM PRODUCTS,2009,724.8
550,TIMBER PRODUCTS,2009,11.27
551,DEFENCE INDUSTRIES,2009,0.0
552,CONSULTANCY SERVICES,2009,256.59
553,SERVICES SECTOR,2009,6183.49
554,HOSPITAL & DIAGNOSTIC CENTRES,2009,239.71
555,EDUCATION,2009,214.52
556,HOTEL & TOURISM,2009,463.92
557,TRADING,2009,643.64
558,RETAIL TRADING,2009,0.09
559,AGRICULTURE SERVICES,2009,5.35
560,"DIAMOND,GOLD ORNAMENTS",2009,83.5
561,TEA AND COFFEE,2009,37.08
562,PRINTING OF BOOKS,2009,31.61
563,COIR,2009,0.0
564,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2009,172.7
565,CONSTRUCTION DEVELOPMENT,2009,4657.51
566,MISCELLANEOUS INDUSTRIES,2009,1549.7
